** World Map Location info
** name : row : col : fromMapIndex : getMapIndex : terrain : teleporter : monsterFrequencies : riddlePoints
TEMP:-1:-1:-1:-1:2:(-1 -1 -1 ?):[]:[]
ship:-1:-1:-1:-1:2:(-1 -1 -1 ?):[]:[]
Peniner hollow:348:99:0:-1:35:(2 -1 -1 ?):[]:[]
Titapet Tabernacle:688:906:0:-1:24:(2 -1 -1 ?):[]:[]
Butipib Landing:433:729:0:-1:34:(2 -1 -1 ?):[]:[]
New Supwick:292:189:0:-1:33:(2 -1 -1 ?):[]:[]
Dununshot Town:664:843:0:-1:23:(2 -1 -1 ?):[]:[]
Nelap grotto:254:495:0:-1:37:(2 -1 -1 ?):[]:[]
Semucen City:664:689:0:-1:26:(2 -1 -1 ?):[]:[]
Fort Kutalos:582:963:0:-1:30:(2 -1 -1 ?):[]:[]
Godapak quarry:543:131:0:-1:38:(2 -1 -1 ?):[]:[]
Kimupet Shrine:204:129:0:-1:24:(2 -1 -1 ?):[]:[]
Moripuk lair:51:156:0:-1:37:(2 -1 -1 ?):[]:[]
Heroes Sudshot:941:100:0:-1:23:(2 -1 -1 ?):[]:[]
Jicimik quarry:768:287:0:-1:38:(2 -1 -1 ?):[]:[]
Koradfolk Town:849:815:0:-1:21:(2 -1 -1 ?):[]:[]
Shamerep cave:840:358:0:-1:36:(2 -1 -1 ?):[]:[]
Sotusor City:790:553:0:-1:26:(2 -1 -1 ?):[]:[]
Chakesec mine:297:33:0:-1:38:(2 -1 -1 ?):[]:[]
Lords Shakakford:331:523:0:-1:22:(2 -1 -1 ?):[]:[]
Sepep Chapel:408:739:0:-1:24:(2 -1 -1 ?):[]:[]
Bebadik Cove:202:545:0:-1:34:(2 -1 -1 ?):[]:[]
Narudol Cathedral:940:916:0:-1:24:(2 -1 -1 ?):[]:[]
Cubesas Hold:179:163:0:-1:22:(2 -1 -1 ?):[]:[]
New Kobuput:330:593:0:-1:33:(2 -1 -1 ?):[]:[]
Stukotet cave:349:862:0:-1:36:(2 -1 -1 ?):[]:[]
Shasem burrow:887:565:0:-1:35:(2 -1 -1 ?):[]:[]
Todop shaft:787:558:0:-1:38:(2 -1 -1 ?):[]:[]
Misilum Gulf:528:769:0:-1:34:(2 -1 -1 ?):[]:[]
Robicud Mission:703:740:0:-1:24:(2 -1 -1 ?):[]:[]
Lubos hold:322:569:0:-1:37:(2 -1 -1 ?):[]:[]
Tobam cave:521:793:0:-1:36:(2 -1 -1 ?):[]:[]
Thamob Temple:980:780:0:-1:24:(2 -1 -1 ?):[]:[]
Debasborne Town:296:902:0:-1:21:(2 -1 -1 ?):[]:[]
Great Cutor:822:118:0:-1:26:(2 -1 -1 ?):[]:[]
Cutor Bowl:822:120:0:-1:28:(2 -1 -1 ?):[]:[]
Lower Lumorpen:964:503:0:-1:34:(2 -1 -1 ?):[]:[]
Chonutin burrow:27:739:0:-1:37:(2 -1 -1 ?):[]:[]
Rubercott Proper:760:245:0:-1:21:(2 -1 -1 ?):[]:[]
Norob Pass:800:850:0:-1:41:(2 -1 -1 ?):[]:[]
Canom Gulch:326:814:0:-1:41:(2 -1 -1 ?):[]:[]
Thukotup fount:879:301:0:-1:38:(2 -1 -1 ?):[]:[]
Middle Bupwich:508:106:0:-1:23:(2 -1 -1 ?):[]:[]
Jitanin cavern:948:972:0:-1:35:(2 -1 -1 ?):[]:[]

